Admission Number,Date of Transaction,Invoice ID,Fee head,Fee term,Original Fee Amount,Concession Applied,Final Amount (paid),concession name,Payment Mode,Collected By ID
10003250,8/5/25,3548,Tuition Fees,May + June,7000,3500,3500,school concession 50%,Cash,cmd3fp3ok00027ifwvb3nbrat
10003250,8/5/25,3548,Tuition Fees,July + August,7000,3500,3500,school concession 50%,Cash,cmd3fp3ok00027ifwvb3nbrat
10001833,8/5/25,3547,Tuition Fees,September + October,7600,,7600,,ONLINE,
10002600,8/4/25,3546,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002926,8/4/25,3545,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003395,8/4/25,3544,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001373,8/4/25,3543,Tuition Fees,September + October,9000,,9000,,ONLINE,
10003146,8/4/25,3542,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003489,8/4/25,3541,Parent Orientation,April,1000,,1000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003489,8/4/25,3541,Admission Fee,April,12000,,12000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003489,8/4/25,3541,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003489,8/4/25,3541,Annual Fund,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003489,8/4/25,3541,Term Charges,April,4300,,4300,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003489,8/4/25,3541,Tuition Fees,July + August,3500,,3500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001987,8/4/25,3540,Tuition Fees,September + October,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003487,8/2/25,3539,Admission Fee,April,10000,,10000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003169,8/2/25,3538,Tuition Fees,July + August,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003488,8/4/25,3537,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003488,8/4/25,3537,Admission Fee,April,4000,,4000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003488,8/4/25,3537,Security,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003488,8/4/25,3537,Term Charges,April,1900,,1900,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003488,8/4/25,3537,Tuition Fees,July + August,2500,,2500,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002298,8/4/25,3536,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002476,8/4/25,3535,Tuition Fees,July + August,8600,,8600,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002976,8/4/25,3534,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002823,8/4/25,3533,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Cash,cmd3fp3ok00027ifwvb3nbrat
10002785,8/4/25,3532,Tuition Fees,July + August,8000,,8000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10001798,8/4/25,3531,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003191,8/4/25,3530,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003388,8/3/25,3529,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002998,8/3/25,3528,Term Charges,November,4300,,4300,,ONLINE,
10002998,8/3/25,3528,Tuition Fees,November,3500,,3500,,ONLINE,
10002085,8/3/25,3527,Term Charges,November,4600,,4600,,ONLINE,
10002085,8/3/25,3527,Tuition Fees,November,3800,,3800,,ONLINE,
10003325,8/3/25,3526,Tuition Fees,July + August,5000,750,2125,Sibling Concession 15% (Custom Fixed),ONLINE,
10002726,8/3/25,3525,Tuition Fees,July + August,3500,,3500,,ONLINE,
10003350,8/3/25,3524,Tuition Fees,September + October,5000,750,4250,Sibling Concession 15% (Custom Fixed),ONLINE,
10002659,8/3/25,3523,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002782,8/3/25,3522,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002782,8/3/25,3521,Tuition Fees,September + October,7000,,7000,,ONLINE,
10003024,8/3/25,3520,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003182,8/2/25,3519,Tuition Fees,September + October,7000,,7000,,ONLINE,
10001774,8/2/25,3518,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003283,8/2/25,3517,Tuition Fees,July + August,7000,3000,4000,Staff Concession 1500,ONLINE,
10003282,8/2/25,3516,Tuition Fees,July + August,7000,3000,4000,Staff Concession 1500,ONLINE,
10003098,8/2/25,3515,Tuition Fees,September + October,7000,,7000,,ONLINE,
10003099,8/2/25,3514,Tuition Fees,September + October,5600,600,5000,Sibling Concession 15% (Custom Fixed),ONLINE,
10002948,8/2/25,3513,Tuition Fees,July + August,5600,600,5000,Sibling Concession 15% (Custom Fixed),ONLINE,
10002649,8/2/25,3512,Tuition Fees,May + June,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002798,8/2/25,3511,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002051,8/2/25,3510,Tuition Fees,September + October,7600,,7600,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002051,8/2/25,3510,Tuition Fees,November,3800,,3800,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002051,8/2/25,3510,Term Charges,November,4600,,4600,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003056,8/2/25,3509,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002502,8/2/25,3508,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002313,8/2/25,3507,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003413,8/2/25,3506,Tuition Fees,July + August,7000,,7000,,ONLINE,
10001069,8/2/25,3505,CAPS Workshop,April,2000,,2000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10001069,8/2/25,3505,Tuition Fees,April,4500,,4500,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10001069,8/2/25,3505,Tuition Fees,May + June,9000,,9000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002434,8/2/25,3504,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10001140,8/2/25,3503,Tuition Fees,September + October,8600,,8600,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002156,8/2/25,3502,Tuition Fees,May + June,7000,1050,5950,Sibling Concession 15%,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002156,8/2/25,3502,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001719,8/2/25,3501,Tuition Fees,May + June,7600,,7600,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001719,8/2/25,3501,Tuition Fees,July + August,7600,,7600,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002977,8/2/25,3500,Tuition Fees,September + October,5600,,5600,,ONLINE,
10002573,8/2/25,3499,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002573,8/2/25,3499,Tuition Fees,September + October,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002573,8/2/25,3499,Tuition Fees,November,3500,,3500,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002573,8/2/25,3499,Term Charges,November,4300,,4300,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002573,8/2/25,3499,Tuition Fees,December + January,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002573,8/2/25,3499,Tuition Fees,February + March,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002766,8/2/25,3498,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002742,8/2/25,3497,Tuition Fees,September + October,7000,,7000,,ONLINE,
10001460,8/2/25,3496,Tuition Fees,September + October,8000,,8000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10001010,8/1/25,3495,Tuition Fees,September + October,9000,,9000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003383,8/2/25,3494,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002249,8/2/25,3493,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002581,8/2/25,3492,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003368,8/1/25,3491,Tuition Fees,September + October,5000,,5000,,ONLINE,
10002558,8/1/25,3490,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003451,8/1/25,3489,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003244,8/1/25,3488,Tuition Fees,September + October,9000,,9000,,ONLINE,
10002345,8/1/25,3487,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003178,8/1/25,3486,Tuition Fees,September + October,7000,,7000,,ONLINE,
10001260,8/1/25,3485,Tuition Fees,September + October,8000,,8000,,ONLINE,
10002380,8/1/25,3484,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002693,8/1/25,3483,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Cash,cmd3fp3ok00027ifwvb3nbrat
10001544,8/1/25,3482,Tuition Fees,July + August,7600,,7600,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002091,8/1/25,3481,Tuition Fees,July + August,7600,1050,6550,Sibling Concession 15%,ONLINE,
10002091,8/1/25,3481,Tuition Fees,September + October,7600,1050,6550,Sibling Concession 15%,ONLINE,
10002090,8/1/25,3480,Tuition Fees,September + October,7600,,7600,,ONLINE,
10002090,8/1/25,3480,Tuition Fees,July + August,7600,,7600,,ONLINE,
10001896,8/1/25,3479,Tuition Fees,July + August,7600,,7600,,ONLINE,
10001121,8/1/25,3478,Tuition Fees,May + June,9000,,9000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10001121,8/1/25,3478,Tuition Fees,July + August,9000,,9000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10001149,8/1/25,3477,Tuition Fees,July + August,4300,,4300,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003374,8/1/25,3476,Tuition Fees,September + October,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003259,8/1/25,3475,Tuition Fees,July + August,5600,1260,4340,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002656,8/1/25,3474,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002860,8/1/25,3473,Tuition Fees,September + October,8000,,8000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002859,8/1/25,3472,Tuition Fees,September + October,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002958,8/1/25,3471,Tuition Fees,July + August,5600,600,1690,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002958,8/1/25,3470,Tuition Fees,July + August,5600,600,3310,Sibling Concession 15% (Custom Fixed),Cash,cmd3fq0hm00037ifw68pdxd2t
10003366,8/1/25,3469,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),Cash,cmd3fq0hm00037ifw68pdxd2t
10002030,8/1/25,3468,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10001560,8/1/25,3467,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001622,8/1/25,3466,Tuition Fees,July + August,7600,1140,3230,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001546,8/1/25,3465,Tuition Fees,July + August,4500,,4500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003480,8/1/25,3464,Parent Orientation,April,1000,,1000,,ONLINE,
10003480,8/1/25,3464,Admission Fee,April,12000,,12000,,ONLINE,
10003480,8/1/25,3464,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002840,8/1/25,3463,Tuition Fees,May + June,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002840,8/1/25,3463,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002327,8/1/25,3462,Tuition Fees,May + June,8000,,8000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003036,8/1/25,3461,Tuition Fees,May + June,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003222,8/1/25,3460,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002632,8/1/25,3459,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003159,8/1/25,3458,Tuition Fees,July + August,7600,1140,3230,Sibling Concession 15% (Custom Fixed),ONLINE,
10002120,8/1/25,3457,Tuition Fees,July + August,7000,,3000,,ONLINE,
10002885,8/1/25,3456,Tuition Fees,May + June,9000,,9000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002512,8/1/25,3455,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001489,8/1/25,3454,Tuition Fees,July + August,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002193,7/31/25,3453,Tuition Fees,July + August,7600,,7600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002827,8/1/25,3452,Tuition Fees,May + June,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002827,8/1/25,3452,Tuition Fees,July + August,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003130,8/1/25,3451,Tuition Fees,November,2500,,2500,,ONLINE,
10003130,8/1/25,3451,Term Charges,November,1900,,1900,,ONLINE,
10002319,7/31/25,3450,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002904,7/31/25,3449,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003119,7/31/25,3448,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003076,7/31/25,3447,Tuition Fees,July + August,9000,,9000,,ONLINE,
10003376,7/31/25,3446,Tuition Fees,September + October,7600,6200,260,Merit Scholarship-8000 in Adm. Fee,Cash,cmd3fp3ok00027ifwvb3nbrat
10003376,7/31/25,3446,Tuition Fees,September + October,7600,1140,260,Merit Scholarship-8000 in Adm. Fee,Cash,cmd3fp3ok00027ifwvb3nbrat
10002107,7/31/25,3445,Tuition Fees,May + June,7600,1140,6460,Sibling Concession 15% (Custom Fixed),ONLINE,
10002952,7/31/25,3444,Tuition Fees,July + August,5600,,5600,,ONLINE,
10002325,7/31/25,3443,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002447,7/31/25,3442,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003426,7/31/25,3441,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),ONLINE,
10003288,7/31/25,3440,Tuition Fees,July + August,7000,,7000,,ONLINE,
10001005,7/31/25,3439,Tuition Fees,July + August,2610,,2610,,Cash,cmd3fp3ok00027ifwvb3nbrat
10001005,7/31/25,3438,Tuition Fees,May + June,4500,,4500,,Cash,cmd3fp3ok00027ifwvb3nbrat
10001612,7/31/25,3437,Tuition Fees,May + June,7600,1520,6080,Sibling Concession 20%,Cash,cmd3fp3ok00027ifwvb3nbrat
10003412,7/31/25,3436,Tuition Fees,September + October,5000,,5000,,ONLINE,
10002686,7/30/25,3435,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002468,7/30/25,3434,Tuition Fees,May + June,7000,,7000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001536,7/30/25,3433,Tuition Fees,May + June,8000,1200,5800,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001536,7/30/25,3433,Tuition Fees,July + August,8000,1200,6800,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001535,7/30/25,3432,Tuition Fees,May + June,8000,,8000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001535,7/30/25,3432,Tuition Fees,July + August,8000,,8000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002144,7/30/25,3431,Tuition Fees,May + June,7600,1050,5550,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002144,7/30/25,3431,Tuition Fees,July + August,7600,1050,6550,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002268,7/30/25,3430,Tuition Fees,July + August,7600,,7600,,ONLINE,
10001331,7/30/25,3429,Tuition Fees,July + August,8000,,8000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001623,7/30/25,3428,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001762,7/29/25,3427,Tuition Fees,May + June,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001762,7/29/25,3427,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002497,7/27/25,3426,Tuition Fees,July + August,7600,,7600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003326,7/29/25,3425,Tuition Fees,September + October,5000,750,4250,Sibling Concession 15% (Custom Fixed),ONLINE,
10002021,7/29/25,3424,Tuition Fees,September + October,7000,,7000,,ONLINE,
10000924,7/28/25,3423,CAPS Workshop,April,1,,1,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10000963,7/29/25,3422,Tuition Fees,July + August,4500,,4500,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10000846,7/29/25,3421,Tuition Fees,July + August,4500,,4500,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001453,7/29/25,3420,Tuition Fees,May + June,8000,1600,6400,Sibling Concession 20% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001453,7/29/25,3420,Tuition Fees,July + August,8000,1600,3200,Sibling Concession 20% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002787,7/29/25,3419,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002278,7/29/25,3418,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002786,7/29/25,3417,Tuition Fees,April,3500,,3500,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002786,7/29/25,3417,Parent Orientation,April,1000,,1000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002786,7/29/25,3417,Tuition Fees,May + June,6400,,6400,,Cash,cmd3fp3ok00027ifwvb3nbrat
10003347,7/29/25,3416,Tuition Fees,July + August,5000,750,2125,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002821,7/29/25,3415,Tuition Fees,July + August,3500,,3500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001371,7/29/25,3414,Tuition Fees,July + August,4500,,4500,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002801,7/28/25,3413,Tuition Fees,May + June,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002800,7/28/25,3412,Tuition Fees,May + June,8000,,8000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001127,7/28/25,3411,Tuition Fees,May + June,8000,,8000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10001127,7/28/25,3411,Tuition Fees,July + August,8000,,8000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10003486,7/28/25,3410,Term Charges,April,4600,,4600,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,CAPS Workshop,April,2000,,2000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,Admission Fee,April,12000,,12000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,Security,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,Annual Fund,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003486,7/28/25,3410,Tuition Fees,July + August,3800,,3800,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002753,7/28/25,3409,Tuition Fees,September + October,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002753,7/28/25,3408,Tuition Fees,May + June,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002753,7/28/25,3408,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10001137,7/28/25,3407,Tuition Fees,May + June,9000,,9000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10001137,7/28/25,3407,Tuition Fees,July + August,4500,,4500,,Cash,cmd3fq0hm00037ifw68pdxd2t
10002275,7/28/25,3406,Tuition Fees,May + June,7000,1050,5950,Sibling Concession 15%,Cash,cmd3fq0hm00037ifw68pdxd2t
10002275,7/28/25,3406,Tuition Fees,July + August,7000,1050,2975,Sibling Concession 15%,Cash,cmd3fq0hm00037ifw68pdxd2t
10002219,7/28/25,3405,Tuition Fees,July + August,3500,,3500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002736,7/28/25,3404,Tuition Fees,May + June,7000,1050,5950,Sibling Concession 15%,Cash,cmd3fp3ok00027ifwvb3nbrat
10002019,7/28/25,3403,Tuition Fees,May + June,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10003355,7/25/25,3402,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001349,7/28/25,3401,Tuition Fees,July + August,9000,,9000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003214,7/28/25,3400,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Cash,cmd3fp3ok00027ifwvb3nbrat
10003213,7/28/25,3399,Tuition Fees,July + August,8600,,8600,,Cash,cmd3fp3ok00027ifwvb3nbrat
10001899,7/26/25,3398,Tuition Fees,May + June,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001899,7/26/25,3398,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003410,7/28/25,3397,Tuition Fees,May + June,5000,750,4250,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003410,7/28/25,3397,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002408,7/28/25,3396,Tuition Fees,May + June,7000,,7000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002408,7/28/25,3396,Tuition Fees,July + August,7000,,7000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
